instruction,answer
Beri rekomendasi makanan kategori Cepat saji/Roti/Kopi.,"Halo! 🌟
Kalau kamu mau makan Cepat saji/Roti/Kopi, ada rekomendasi bagus nih! Coba deh ke **Clouds Coffee** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Local Clouds | Harga: 23000.0
- Caramel Machiato | Harga: 28000.0
- Red Velvet | Harga: 28000.0
- Matcha | Harga: 28000.0
- Chocolate | Harga: 28000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Bakmie.,"Halo! 🌟
Kalau kamu mau makan Bakmie, ada rekomendasi bagus nih! Coba deh ke **Mie Jeder** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Mie Pedas Jeder Level 0 | Harga: 13000.0
- Mie Pedas Jeder Level 1 | Harga: 13000.0
- Mie Pedas Jeder Level 2 | Harga: 13000.0
- Mie Pedas Jeder Level 3 | Harga: 13000.0
- Mie Pedas Jeder Level 4 | Harga: 13000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Kopi/Minuman/Roti.,"Halo! 🌟
Kalau kamu mau makan Kopi/Minuman/Roti, ada rekomendasi bagus nih! Coba deh ke **330 Kopi, Ciledug** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Hot Almara Kopi (kopi Susu Gula Aren) | Harga: 20000.0
- Ice Almara Kopi (kopi Susu Gula Aren) | Harga: 22000.0
- Hot Millsis | Harga: 20000.0
- Ice Millsis | Harga: 20000.0
- Hot Millbro | Harga: 22000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Chinese.,"Halo! 🌟
Kalau kamu mau makan Chinese, ada rekomendasi bagus nih! Coba deh ke **369 Shanghai, Jemursari** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Bestdeal Noodle | Harga: 108000.0
- Bestdeal Sup | Harga: 129599.0
- Bestdeal rice | Harga: 116400.0
- Siomay Ayam Rebus / Goreng | Harga: 36000.0
- Siomay Babi Rebus/ Goreng | Harga: 36000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Kopi/Pizza & pasta.,"Halo! 🌟
Kalau kamu mau makan Minuman/Kopi/Pizza & pasta, ada rekomendasi bagus nih! Coba deh ke **AHA by Kudos** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Beef And Mushroom | Harga: 56800.0
- Shirataki Spicy Abon Cakalang | Harga: 60800.0
- Americano | Harga: 34400.0
- Coffee Latte | Harga: 42300.0
- Creme Brulee | Harga: 47600.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi, ada rekomendasi bagus nih! Coba deh ke **AHAN CHASIOPUI** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- nasi siobak | Harga: 67000.0
- daging siobak | Harga: 67000.0
- nasi hainam | Harga: 16000.0
- daging siobak 1ons | Harga: 120600.0
- nasi putih | Harga: 8500.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Minuman/Cepat saji/Kopi.,"Halo! 🌟
Kalau kamu mau makan Minuman/Cepat saji/Kopi, ada rekomendasi bagus nih! Coba deh ke **AMPM SDA, Buduran** yang ada di surabaya.
Di sana ada banyak makanan enak loh seperti:
- Iced Freshpresso | Harga: 22000.0
- Iced Coffee Latte | Harga: 21000.0
- Iced Americano | Harga: 20000.0
- Iced El Loco | Harga: 23000.0
- Iced Carribeans Coffee | Harga: 22000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/Minuman/Barat.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/Minuman/Barat, ada rekomendasi bagus nih! Coba deh ke **Abe Steak, Cibubur** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Hemat Berdua | Harga: 70000.0
- Hemat 1 | Harga: 33000.0
- Hemat Combo 3 | Harga: 105000.0
- Hemat Combo 2 | Harga: 100000.0
- Hemat Combo 1 | Harga: 90000.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Barat.,"Halo! 🌟
Kalau kamu mau makan Barat, ada rekomendasi bagus nih! Coba deh ke **Abuba Steak, Cikarang** yang ada di jakarta.
Di sana ada banyak makanan enak loh seperti:
- Tas ABUBA ( Max 5 Box ) | Harga: 13200.0
- Lychee Popping Boba | Harga: 35200.0
- Peach Popping Boba | Harga: 35200.0
- Choco Volcano | Harga: 49500.0
- Oreo Fruit Blast | Harga: 39600.0

Nyam nyam! Pasti enak deh! 😋"
Beri rekomendasi makanan kategori Aneka nasi/India/Ayam & bebek.,"Halo! 🌟
Kalau kamu mau makan Aneka nasi/India/Ayam & bebek, ada rekomendasi bagus nih! Coba deh ke **Ahmeds Kitchen** yang ada di medan.
Di sana ada banyak makanan enak loh seperti:
- Paket Nasi Biryani Ayam Khas Dubai + Teh Manis Dingin | Harga: 66000.0
- Paket Nasi Ayam Penyet Special + Teh Manis Dingin | Harga: 28000.0
- Paket Nasi Goreng Ayam Special + Teh Manis Dingin | Harga: 28000.0
- Paket Nasi Ayam Cabe Ijo + Teh Manis Dingin | Harga: 28000.0
- Paket Nasi Ayam Geprek Spesial + Teh Manis Dingin | Harga: 28000.0

Nyam nyam! Pasti enak deh! 😋"
